,variety,variety_ID,clone_ID,clone_num,year,bud_day,flow_day,ver_day,mat_day,BB,FLOW,VER,MAT,review
3142,Chasselas,585,585Mtp68,NA,1971,30/3/71,NA,NA,NA,30/3/1971,NA,NA,NA,NA
3143,Chasselas,585,585Mtp68,NA,1972,20/3/72,NA,NA,17/8/72,20/3/1972,NA,NA,17/8/1972,NA
3144,Chasselas,585,585Mtp68,NA,1973,1/7/73,NA,NA,NA,1/7/73,NA,NA,NA,NA
3145,Chasselas,585,585Mtp68,NA,1974,22/3/74,NA,NA,NA,22/3/1974,NA,NA,NA,NA
3146,Chasselas,585,585Mtp68,NA,1976,16/3/76,NA,NA,NA,16/3/1976,NA,NA,NA,NA
3147,Chasselas,585,585Mtp68,NA,1979,19/3/79,NA,23/7/79,NA,19/3/1979,NA,23/7/1979,NA,NA
3148,Chasselas,585,585Mtp68,NA,1980,24/3/80,NA,28/7/80,NA,24/3/1980,NA,28/7/1980,NA,NA
3149,Chasselas,585,585Mtp68,NA,1981,27/3/81,NA,17/7/81,NA,27/3/1981,NA,17/7/1981,NA,NA
3150,Chasselas,585,585Mtp68,NA,1982,17/3/82,NA,5/7/82,NA,17/3/1982,NA,5/7/82,NA,NA
3151,Chasselas,585,585Mtp68,NA,1983,24/3/83,NA,22/7/83,NA,24/3/1983,NA,22/7/1983,NA,NA
3152,Chasselas,585,585Mtp68,NA,1984,5/4/84,NA,NA,NA,5/4/84,NA,NA,NA,NA
3153,Chasselas,585,585Mtp68,NA,1985,1/4/85,NA,NA,NA,1/4/85,NA,NA,NA,NA
3154,Chasselas,585,585Mtp68,NA,1986,26/3/86,NA,NA,NA,26/3/1986,NA,NA,NA,NA
3155,Chasselas,585,585Mtp68,NA,1987,NA,10/6/87,24/7/87,17/8/87,NA,10/6/87,24/7/1987,17/8/1987,NA
3156,Chasselas,585,585Mtp68,NA,1988,25/3/88,30/5/88,22/7/88,12/8/88,25/3/1988,30/5/1988,22/7/1988,12/8/88,NA
3157,Chasselas,585,585Mtp69,NA,1964,NA,NA,NA,4/8/64,NA,NA,NA,4/8/64,NA
3158,Chasselas,585,585Mtp69,NA,1965,29/3/65,NA,NA,5/8/65,29/3/1965,NA,NA,5/8/65,NA
3159,Chasselas,585,585Mtp69,NA,1966,12/3/66,NA,NA,10/8/66,12/3/66,NA,NA,10/8/66,NA
3160,Chasselas,585,585Mtp69,NA,1967,13/3/67,NA,NA,NA,13/3/1967,NA,NA,NA,NA
3161,Chasselas,585,585Mtp69,NA,1968,25/3/68,NA,NA,6/8/68,25/3/1968,NA,NA,6/8/68,NA
3162,Chasselas,585,585Mtp69,NA,1969,22/3/69,NA,NA,12/8/69,22/3/1969,NA,NA,12/8/69,NA
3163,Chasselas,585,585Mtp69,NA,1972,NA,NA,NA,17/8/72,NA,NA,NA,17/8/1972,NA
3164,Chasselas,585,585Mtp70,NA,1964,24/3/64,NA,NA,31/7/64,24/3/1964,NA,NA,31/7/1964,NA
3165,Chasselas,585,585Mtp70,NA,1965,31/3/65,NA,NA,5/8/65,31/3/1965,NA,NA,5/8/65,NA
3166,Chasselas,585,585Mtp70,NA,1966,12/3/66,NA,NA,10/8/66,12/3/66,NA,NA,10/8/66,NA
3167,Chasselas,585,585Mtp70,NA,1967,10/3/67,NA,NA,NA,10/3/67,NA,NA,NA,NA
3168,Chasselas,585,585Mtp70,NA,1968,27/3/68,NA,NA,6/8/68,27/3/1968,NA,NA,6/8/68,NA
3169,Chasselas,585,585Mtp70,NA,1969,27/3/69,NA,NA,12/8/69,27/3/1969,NA,NA,12/8/69,NA
3170,Chasselas,585,585Mtp70,NA,1970,29/3/70,NA,NA,NA,29/3/1970,NA,NA,NA,NA
3171,Chasselas,585,585Mtp70,NA,1971,31/3/71,NA,NA,NA,31/3/1971,NA,NA,NA,NA
3172,Chasselas,585,585Mtp70,NA,1972,20/3/72,NA,NA,17/8/72,20/3/1972,NA,NA,17/8/1972,NA
3173,Chasselas,585,585Mtp70,NA,1973,29/3/73,NA,NA,NA,29/3/1973,NA,NA,NA,NA
3174,Chasselas,585,585Mtp70,NA,1974,19/3/74,NA,NA,NA,19/3/1974,NA,NA,NA,NA
3175,Chasselas,585,585Mtp70,NA,1976,17/3/76,NA,NA,NA,17/3/1976,NA,NA,NA,NA
3176,Chasselas,585,585Mtp70,NA,1978,11/3/78,NA,NA,NA,11/3/78,NA,NA,NA,NA
3177,Chasselas,585,585Mtp70,NA,1979,18/3/79,NA,23/7/79,NA,18/3/1979,NA,23/7/1979,NA,NA
3178,Chasselas,585,585Mtp70,NA,1980,24/3/80,NA,1/8/80,NA,24/3/1980,NA,1/8/80,NA,NA
3179,Chasselas,585,585Mtp70,NA,1981,27/3/81,NA,23/7/81,NA,27/3/1981,NA,23/7/1981,NA,NA
3180,Chasselas,585,585Mtp70,NA,1982,18/3/82,NA,12/7/82,NA,18/3/1982,NA,12/7/82,NA,NA
3181,Chasselas,585,585Mtp70,NA,1983,24/3/83,NA,22/7/83,NA,24/3/1983,NA,22/7/1983,NA,NA
3182,Chasselas,585,585Mtp70,NA,1984,2/4/84,NA,NA,NA,2/4/84,NA,NA,NA,NA
3183,Chasselas,585,585Mtp70,NA,1985,1/4/85,NA,NA,16/8/95,1/4/85,NA,NA,16/8/1995,NA
3184,Chasselas,585,585Mtp70,NA,1986,26/3/86,NA,NA,NA,26/3/1986,NA,NA,NA,NA
3185,Chasselas,585,585Mtp70,NA,1987,NA,7/6/87,24/7/87,17/8/87,NA,7/6/87,24/7/1987,17/8/1987,NA
3186,Chasselas,585,585Mtp70,NA,1988,25/3/88,30/5/88,23/7/88,12/8/88,25/3/1988,30/5/1988,23/7/1988,12/8/88,NA
3187,Chasselas,585,585Mtp70,NA,1994,NA,25/5/94,NA,NA,NA,25/5/1994,NA,NA,NA
3188,Chasselas,585,585Mtp70,NA,1995,20/3/95,27/3/95,20/7/95,16/8/95,20/3/1995,27/3/1995,20/7/1995,16/8/1995,NA
3189,Chasselas,585,585Mtp70,NA,1996,22/3/96,NA,NA,NA,22/3/1996,NA,NA,NA,NA
3190,Chasselas,585,585Mtp70,NA,1997,2/3/97,14/5/97,3/7/97,21/7/97,2/3/97,14/5/1997,3/7/97,21/7/1997,NA
3191,Chasselas,585,585Mtp70,NA,1998,15/3/98,27/5/98,16/7/98,10/8/98,15/3/1998,27/5/1998,16/7/1998,10/8/98,NA
3192,Chasselas,585,585Mtp70,NA,1999,17/3/99,24/5/99,10/7/99,7/8/99,17/3/1999,24/5/1999,10/7/99,7/8/99,NA
3193,Chasselas,585,585Mtp70,NA,2000,18/3/00,30/5/00,21/7/00,17/8/00,18/3/2000,30/5/2000,21/7/2000,17/8/2000,NA
3194,Chasselas,585,585Mtp70,NA,2001,4/3/01,24/5/01,11/7/01,17/8/01,4/3/01,24/5/2001,11/7/01,17/8/2001,NA
3195,Chasselas,585,585Mtp70,NA,2002,14/3/02,31/5/02,15/7/02,20/8/02,14/3/2002,31/5/2002,15/7/2002,20/8/2002,NA
3196,Chasselas,585,585Mtp70,NA,2003,24/3/03,30/5/03,22/7/03,13/8/03,24/3/2003,30/5/2003,22/7/2003,13/8/2003,NA
3197,Chasselas,585,585Mtp70,NA,2004,19/3/04,4/6/04,28/7/04,19/8/04,19/3/2004,4/6/04,28/7/2004,19/8/2004,NA
