variety,variety_ID,clone_ID,clone_num,year,bud_day,flow_day,ver_day,mat_day,notes,File info,,,
Korai Olasz ,2910,718A2,1,1999,26/8/1999,,,,mat_day not given,2015-07-14 17.00.03.jpg,,,
RotgipFler,289,Ang 34ES7175,,1994,30/8/1994,,,17/2/1995,clone number not given,2015-07-14 17.07.24.jpg,,,
RotgipFler,289,419A5,,1969,29/8/1969,,,3/4/70,clone number not given,2015-07-14 17.07.30.jpg,,,
Rkatsiteli,1735,Ang43ES8125,,1998,9/9/98,,,1/3/99,clone number not given,2015-07-14 17.09.42.jpg,,,
Rkatsiteli,1735,417A76,,1972,21/9/1972,,,29/6/1973,clone number not given,2015-07-14 17.09.48.jpg,,,
Souzao,1483,Ang R8WS2125,,1994,15/9/1994,,,17/2/1995,clone number not given,2015-07-14 17.11.31 HDR.jpg,,,
Souzao,1483,lago R34S136140,,1994,12/9/94,,,17/2/1995,clone number not given,2015-07-14 17.11.36 HDR.jpg,,,
Souzao,1483,127A6,3,1988,15/9/1988,,,10/3/89,clone number not given,2015-07-14 17.11.46.jpg,,,
Daphni,263,125A1S12,,1980,6/10/80,,,27/3/1981,clone number not given,2015-07-14 17.19.28.jpg,,,
Kolliniatico,,1214A5,,1974,4/10/74,,,21/2/1975,clone number not given,2015-07-14 17.23.38.jpg,,,
Rhoditis,1779,520A92,,1966,4/10/66,,,19/9/1967,clone number not given,2015-07-14 17.29.48 HDR.jpg,,,
Szemendriai dimiat,1666,81A1,,1981,21/9/1981,,,5/3/82,clone number not given,2015-07-14 17.36.55.jpg,,,
Szemendriai dimiat,1666,1115A3,,1974,20/9/1974,,,21/2/1975,clone number not given,2015-07-14 17.37.02.jpg,,,
Pinotage,2574,135S6,,1995,29/8/1995,,,23/2/1996,clone number not given,2015-07-14 17.47.29-1.jpg,,,
Pinotage,2574,135S6,,2000,4/9/00,,,14/2/2001,clone number not given,2015-07-14 17.47.35.jpg,,,
Alicante Henri Bouchet,514,Condamine et Thezeir,,1972,3/10/72,,,24/10/1973,clone number not given,2015-07-12 16.53.19.jpg,,,
